user_id,date,cheat_calories,sugar_g,fat_g,meal_type
U0089,2025-10-29,936,24,41,Breakfast
U0147,2025-11-02,874,58,34,Lunch
U0593,2025-11-12,716,29,39,Lunch
U0499,2025-11-17,839,27,46,Breakfast
U0659,2025-11-14,485,47,34,Dinner
U0101,2025-12-08,742,26,38,Lunch
U0703,2025-10-19,1134,41,19,Dinner
U0480,2025-11-19,907,37,33,Lunch
U0074,2025-10-21,407,48,23,Breakfast
U0980,2025-12-02,878,44,16,Dinner
U0489,2025-11-28,935,22,39,Breakfast
U0216,2025-11-17,704,24,28,Lunch
U0075,2025-11-01,760,41,22,Lunch
U0134,2025-11-20,992,45,18,Lunch
U0376,2025-11-04,1155,52,19,Breakfast
U0423,2025-11-26,487,52,20,Breakfast
U0294,2025-11-22,946,60,40,Breakfast
U0942,2025-11-08,812,58,24,Dinner
U0285,2025-12-05,793,47,25,Breakfast
U0004,2025-10-27,1180,35,41,Breakfast
U0831,2025-10-27,867,28,37,Dinner
U0847,2025-12-16,699,42,46,Breakfast
U0712,2025-12-11,488,38,34,Lunch
U0606,2025-11-11,461,58,21,Dinner
U0371,2025-11-05,651,47,28,Dinner
U0491,2025-12-03,547,41,48,Dinner
U0228,2025-11-22,943,23,22,Dinner
U0770,2025-11-25,1110,51,48,Breakfast
U0731,2025-12-13,1191,46,23,Dinner
U0385,2025-10-30,868,25,22,Dinner
U0376,2025-12-12,557,55,22,Lunch
U0365,2025-11-02,688,45,20,Dinner
U0833,2025-12-16,1059,60,38,Lunch
U0887,2025-11-24,444,47,28,Lunch
U0124,2025-11-22,477,54,27,Lunch
U0324,2025-10-23,798,25,47,Dinner
U0604,2025-12-07,567,35,25,Breakfast
U0698,2025-11-20,1190,46,16,Dinner
U0907,2025-11-28,646,52,43,Dinner
U0257,2025-12-07,773,46,25,Dinner
U0096,2025-10-29,926,34,36,Lunch
U0456,2025-10-25,408,26,39,Dinner
U0015,2025-12-01,956,24,21,Lunch
U0127,2025-12-03,451,32,15,Breakfast
U0221,2025-11-24,1050,41,44,Lunch
U0993,2025-12-16,745,49,37,Dinner
U0880,2025-11-08,873,57,32,Lunch
U0466,2025-11-21,634,42,31,Breakfast
U0356,2025-10-27,945,57,24,Breakfast
U0666,2025-11-16,886,50,28,Breakfast
U0131,2025-12-14,824,49,49,Breakfast
U0775,2025-12-16,896,57,37,Lunch
U0654,2025-10-19,807,49,42,Dinner
U0299,2025-10-30,1068,31,50,Breakfast
U0398,2025-12-03,801,22,40,Breakfast
U0609,2025-10-23,815,58,38,Lunch
U0853,2025-12-15,738,47,38,Breakfast
U0535,2025-11-04,903,52,49,Breakfast
U0747,2025-11-29,805,21,50,Dinner
U0752,2025-10-24,661,27,45,Breakfast
U0859,2025-12-04,738,44,39,Dinner
U0326,2025-11-21,896,49,32,Lunch
U0510,2025-12-10,472,27,34,Breakfast
U0290,2025-11-08,411,58,18,Breakfast
U0685,2025-11-03,496,56,24,Lunch
U0442,2025-11-06,1002,45,48,Dinner
U0196,2025-10-31,532,54,46,Dinner
U0478,2025-10-29,532,40,38,Dinner
U0228,2025-12-08,871,36,38,Dinner
U0922,2025-11-28,425,44,23,Lunch
U0446,2025-12-09,456,24,48,Breakfast
U0872,2025-11-18,477,29,29,Dinner
U0859,2025-10-19,413,56,23,Breakfast
U0328,2025-10-24,740,36,47,Lunch
U0595,2025-11-24,547,58,27,Dinner
U0168,2025-12-01,1074,35,38,Dinner
U0833,2025-10-21,1057,50,32,Breakfast
U0594,2025-10-26,679,42,27,Lunch
U0597,2025-12-16,590,40,32,Lunch
U0562,2025-12-14,736,35,22,Lunch
U0440,2025-11-09,974,34,38,Lunch
U0986,2025-12-01,558,22,34,Lunch
U0595,2025-11-08,954,60,25,Dinner
U0425,2025-12-01,1007,50,42,Dinner
